Bereshit 1:1:  When God began to create heaven and earth—
Bereshit 1:27:  And God created humankind in the divine image,creating it in the image of God—creating them male and female.
   0  וַיִּבְרָ֨א           and·created
   1  אֱלֹהִ֤ים             God
   2  אֶת־הָֽאָדָם֙         [identifies object]
   3  בְּצַלְמ֔וֹ           image
   4  בְּצֶ֥לֶם             image
   5  אֱלֹהִ֖ים             God
   6  בָּרָ֣א               son
   7  אֹת֑וֹ                [object]·him
   8  זָכָ֥ר                remember
   9  וּנְקֵבָ֖ה            female
  10  בָּרָ֥א               son
  11  אֹתָֽם                [object]·them

Bereshit 1:28:  God blessed them and God said to them, “Be fertile and increase, fill the earth and master it; and rule the fish of the sea, the birds of the sky, and all the living things that creep on earth.”
   0  וַיְבָ֣רֶךְ           and·blessed
   1  אֹתָם֮                [object]·them
   2  אֱלֹהִים֒             God
   3  וַיֹּ֨אמֶר            and·said
   4  לָהֶ֜ם                to·them
   5  אֱלֹהִ֗ים             God
   6  פְּר֥וּ               be·fruitful
   7  וּרְב֛וּ              be·great
   8  וּמִלְא֥וּ            fill
   9  אֶת־הָאָ֖רֶץ          [identifies object]
  10  וְכִבְשֻׁ֑הָ          subject
  11  וּרְד֞וּ              go down
  12  בִּדְגַ֤ת             fish
  13  הַיָּם֙               sea
  14  וּבְע֣וֹף             birds
  15  הַשָּׁמַ֔יִם          the·heavens
  16  וּבְכׇל־חַיָּ֖ה       all·adj
  17  הָֽרֹמֶ֥שֶׂת          creep
  18  עַל־הָאָֽרֶץ          upon·the·earth

Bereshit 1:29:  God said, “See, I give you every seed-bearing plant that is upon all the earth, and every tree that has seed-bearing fruit; they shall be yours for food.
   0  וַיֹּ֣אמֶר            and·said
   1  אֱלֹהִ֗ים             God
   2  הִנֵּה֩               behold
   3  נָתַ֨תִּי             give
   4  לָכֶ֜ם                to·you
   5  אֶת־כׇּל־עֵ֣שֶׂב      [identifies object]
   6  זֹרֵ֣עַ               seed
   7  זֶ֗רַע                seed
   8  אֲשֶׁר֙               which
   9  עַל־פְּנֵ֣י           above·face
  10  כׇל־הָאָ֔רֶץ          all·the·earth
  11  וְאֶת־כׇּל־הָעֵ֛ץ     [identifies object]
  12  אֲשֶׁר־בּ֥וֹ          which·in·it
  13  פְרִי־עֵ֖ץ            fruit·tree
  14  זֹרֵ֣עַ               seed
  15  זָ֑רַע                seed
  16  לָכֶ֥ם                to·you
  17  יִֽהְיֶ֖ה             be
  18  לְאׇכְלָֽה            food

Bereshit 1:30:  And to all the animals on land, to all the birds of the sky, and to everything that creeps on earth, in which there is the breath of life, [I give] all the green plants for food.” And it was so.
   0  וּֽלְכׇל־חַיַּ֣ת      all·adj
   1  הָ֠אָ֠רֶץ             the·earth
   2  וּלְכׇל־ע֨וֹף         all·birds
   3  הַשָּׁמַ֜יִם          the·heavens
   4  וּלְכֹ֣ל              all
   5  רוֹמֵ֣שׂ              creep
   6  עַל־הָאָ֗רֶץ          upon·the·earth
   7  אֲשֶׁר־בּוֹ֙          which·in·it
   8  נֶ֣פֶשׁ               soul
   9  חַיָּ֔ה               living
  10  אֶת־כׇּל־יֶ֥רֶק       [identifies object]
  11  עֵ֖שֶׂב               herb
  12  לְאׇכְלָ֑ה            food
  13  וַֽיְהִי־כֵֽן         and·was·so

Bereshit 1:31:  And God saw all that had been made, and found it very good. And there was evening and there was morning, the sixth day.
   0  וַיַּ֤רְא             and·saw
   1  אֱלֹהִים֙             God
   2  אֶת־כׇּל־אֲשֶׁ֣ר      [identifies object]
   3  עָשָׂ֔ה               made
   4  וְהִנֵּה־ט֖וֹב        behold·be good
   5  מְאֹ֑ד                very
   6  וַֽיְהִי־עֶ֥רֶב       and·was·evening
   7  וַֽיְהִי־בֹ֖קֶר       and·was·morning
   8  י֥וֹם                 day
   9  הַשִּׁשִּֽׁי          sixth

